empresa,valor,vencimento,status,origem email,arquivo pdf
Claro,"R$ 225,32",05/02/2026,extraido,Sua Fatura Digital Claro chegou,downloads\pdfs\2026\Fatura Claro.pdf
Claro,"R$ 49,90",05/02/2026,extraido,Sua Fatura Digital Claro chegou,downloads\pdfs\2026\SuaContaClaro_Fev-2026.pdf
EDP,,20/02/2026,dados incompletos,EDP - FATURAS,
EDP,"R$ 0,15",20/02/2026,extraido,Fwd: EDP - FATURAS,downloads\pdfs\2026\BANDFATELBT01_00000000112503000471_0000000996A.pdf
CPFL,"R$ 244,78",26/02/2026,extraido corpo email,Conta por e-mail CPFL - Protocolo: 0390677452,
Adilson Mota,,28/02/2026,dados incompletos,Fwd: Extrato de aluguel de locação,downloads\pdfs\2026\8591_0_9_4_5112122841_extrato_grupokaza.pdf
GRUPO KAZA JACAREÍ,,28/02/2026,dados incompletos,Extrato de aluguel de locação,downloads\pdfs\2026\8591_0_9_4_5112122841_extrato_grupokaza.pdf
